Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MagneticBuzzer_CUI_CST-931RP-A,1,Buzzer,
C1,CP_Elec_5x5.3,1,100u,C249463
"C10, C7",0402,2,12p,C1547
"C11, C12, C13, C14, C15, C16, C17, C19, C20, C30, C6, C8, C9",0402,13,100n,C1525
"C18, C29",0402,2,100n,C100072
"C2, C24, C28",0402,3,1u,C52923
"C21, C25",0805,2,1u,C28323
"C22, C26",1206,2,2.2u,C50254
"C23, C27",CP_Elec_8x10,2,330u,C134842
C3,CP_Elec_6.3x7.7,1,330u,C249900
C4,0402,1,10n,C15195
C5,0402,1,4.7u,C23733
"D1, D2, D3, D4, D5",0805,5,Green,C63855
"D6, D7",0805,2,Red,C72037
"F1, F2",Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,2,6A,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,BATT,
J10,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Alim Log,
J11,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Alim 2,
J12,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,EN 3,
J13,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,Alim 3,
J15,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,1,Lipo Cells,
J2,PinHeader_2x05_P1.27mm_Vertical_SMD,1,DEBUG,C5160761
J3,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,In App Prog,
J4,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,I2C1_5,
J5,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,I2C2_5,
J6,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,CAN1,
J7,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,CAN2,
J8,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,Conn AU,
J9,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,EN 2,
L1,0402,1,39n,C26443
"Q1, Q2",SOT-23,2,BSS138,C426569
"R1, R14, R15, R2, R38, R8, R9",0805,7,68,C17802
"R10, R11, R13, R16, R18, R21, R24, R26, R27, R30, R31, R32, R33, R4, R5, R6, R7",0805,17,10k,C17414
"R12, R3",0402,2,47,C25118
"R17, R25, R28, R29, R34, R35, R36, R37",0805,8,7.5k,C17807
"R19, R22",0805,2,5.6k,C26024
"R20, R23",0805,2,1.8k,C17398
"R39, R40, R41, R42",0805,4,100k,C25611
SW1,SW_TS_1088_AR_3x4x2,1,RESET,C720477
SW2,SW_TS_1088_AR_3x4x2,1,BOOT0,C720477
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
"U10, U9",Texas_EUK_R-PDSS-T7_THT,2,PTN78020W_EUK-7,C5219636
"U11, U6",SO-8_3.9x4.9mm_P1.27mm,2,LM358,C9418
U2,LQFP-64_10x10mm_P0.5mm,1,STM32G474RETx,C521608
"U3, U4",SOT-23-5_HandSoldering,2,74LVC1G02,C16360
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2558FD-xSN,C124015
"U7, U8",Allegro_QFN-12-10-1EP_3x3mm_P0.5mm,2,ACS711xEXLT-15AB,C150824
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,16MHz,C13738
