Designator,Mid X,Mid Y,Rotation,Layer
BZ1,146.75,-66.25,270.0,top
C1,104.5,-94.0,180.0,top
C10,111.75,-103.25,0.0,top
C11,128.5,-108.25,270.0,top
C12,117.25,-106.5,180.0,top
C13,80.5,-130.75,0.0,top
C14,80.25,-96.0,0.0,top
C15,138.75,-61.0,180.0,top
C16,139.5,-52.0,0.0,top
C17,133.75,-100.0,90.0,top
C18,147.575,-128.865,90.0,top
C19,87.5,-145.0,270.0,top
C2,126.25,-109.75,270.0,top
C20,85.0,-102.25,0.0,top
C21,79.75,-69.5,90.0,top
C22,82.25,-69.0,90.0,top
C23,124.25,-79.25,90.0,top
C24,119.25,-79.0,270.0,top
C25,83.5,-135.5,270.0,top
C26,86.0,-136.0,270.0,top
C27,129.75,-141.25,90.0,top
C28,124.25,-142.0,270.0,top
C29,147.5,-118.25,90.0,top
C3,105.0,-87.25,180.0,top
C30,140.25,-103.5,180.0,top
C4,125.25,-109.75,270.0,top
C5,116.5,-95.75,180.0,top
C6,116.5,-96.75,180.0,top
C7,111.75,-97.255,180.0,top
C8,120.25,-94.25,0.0,top
C9,131.25,-97.5,270.0,top
D1,141.25,-107.0,90.0,top
D2,96.5,-85.0,0.0,top
D3,82.25,-124.5,180.0,top
D4,76.75,-89.0,180.0,top
D5,115.25,-91.75,180.0,top
D6,115.25,-85.75,180.0,top
D7,139.75,-66.205,90.0,top
F1,105.5,-78.25,0.0,top
F2,110.5,-141.5,0.0,top
J1,76.5,-82.25,270.0,top
J10,76.5,-55.0,270.0,top
J11,76.75,-138.0,270.0,top
J12,74.54,-93.52,270.0,top
J13,76.305,-107.62,270.0,top
J15,144.75,-142.45,180.0,top
J2,125.5,-89.25,270.0,top
J3,147.25,-56.75,270.0,top
J4,147.25,-77.75,270.0,top
J5,147.25,-88.75,270.0,top
J6,147.25,-100.0,270.0,top
J7,147.2,-111.0,270.0,top
J8,74.75,-64.0,270.0,top
J9,75.0,-129.0,270.0,top
L1,127.25,-110.0,90.0,top
Q1,140.25,-77.75,180.0,top
Q2,140.3125,-88.75,180.0,top
R1,139.0,-107.0,90.0,top
R10,141.5,-58.75,90.0,top
R11,141.5,-54.5,90.0,top
R12,140.5,-96.5,180.0,top
R13,75.75,-68.5,180.0,top
R14,115.25,-89.75,180.0,top
R15,115.25,-87.75,180.0,top
R16,139.325,-134.865,180.0,top
R17,141.325,-136.865,180.0,top
R18,139.325,-132.865,180.0,top
R19,89.25,-143.25,270.0,top
R2,96.5,-87.0,0.0,top
R20,90.25,-146.25,0.0,top
R21,80.25,-145.0,0.0,top
R22,84.0,-100.5,0.0,top
R23,84.0,-98.5,180.0,top
R24,84.0,-108.5,0.0,top
R25,139.325,-130.865,0.0,top
R26,150.825,-134.865,0.0,top
R27,150.825,-132.865,0.0,top
R28,150.825,-130.865,180.0,top
R29,148.825,-136.865,0.0,top
R3,115.25,-101.5,270.0,top
R30,139.0,-124.25,180.0,top
R31,139.0,-122.25,180.0,top
R32,150.75,-124.25,0.0,top
R33,150.75,-122.25,0.0,top
R34,141.0,-126.25,180.0,top
R35,148.75,-126.25,0.0,top
R36,150.75,-120.25,180.0,top
R37,139.0,-120.25,0.0,top
R38,137.5,-66.25,90.0,top
R39,139.325,-128.865,0.0,top
R4,137.25,-77.75,270.0,top
R40,150.825,-128.865,180.0,top
R41,139.0,-118.25,0.0,top
R42,150.75,-118.25,180.0,top
R5,140.25,-80.75,0.0,top
R6,137.3125,-88.7,270.0,top
R7,140.3125,-91.7,0.0,top
R8,78.25,-124.5,0.0,top
R9,72.75,-89.0,0.0,top
SW1,137.25,-58.25,0.0,top
SW2,137.25,-54.5,180.0,top
U1,96.5,-92.5,270.0,top
U10,106.75,-124.5,0.0,top
U11,145.075,-132.865,-90.0,top
U2,123.75,-101.75,270.0,top
U3,81.25,-128.25,0.0,top
U4,81.0,-93.25,0.0,top
U5,138.25,-100.0,270.0,top
U6,144.75,-122.25,-90.0,top
U7,84.5,-143.935,270.0,top
U8,84.25,-105.0,0.0,top
U9,103.0,-61.25,0.0,top
Y1,111.75,-100.25,180.0,top
