Designator,Mid X,Mid Y,Rotation,Layer
C1,109.0,-62.75,90.0,top
C10,119.043,-76.924,0.0,top
C11,126.0,-74.5,90.0,top
C12,136.906,-89.408,270.0,top
C13,126.19,-82.0,90.0,top
C14,104.819,-63.716,180.0,top
C15,103.5,-69.812,180.0,top
C16,131.3175,-77.75,180.0,top
C2,110.153,-62.75,90.0,top
C3,113.201,-60.922,0.0,top
C4,123.5,-63.5,0.0,top
C5,120.313,-75.654,180.0,top
C6,109.75,-73.0,180.0,top
C7,94.996,-67.056,90.0,top
C8,78.994,-67.056,90.0,top
C9,119.043,-78.194,0.0,top
D1,85.598,-61.976,0.0,top
D2,139.954,-62.23,180.0,top
J1,139.45,-55.5,270.0,top
J10,99.75,-88.0,180.0,top
J11,67.05,-62.526,90.0,top
J12,112.75,-88.0,180.0,top
J13,73.75,-45.3,0.0,top
J14,67.05,-69.638,90.0,top
J15,86.75,-45.3,0.0,top
J16,99.75,-45.3,0.0,top
J17,67.05,-76.75,90.0,top
J18,112.75,-45.3,0.0,top
J2,139.45,-44.5,270.0,top
J3,139.45,-69.0,270.0,top
J4,139.45,-80.0,270.0,top
J5,129.54,-88.7,180.0,top
J6,120.142,-54.438,270.0,top
J7,73.75,-88.0,180.0,top
J8,86.75,-88.0,180.0,top
J9,67.05,-55.414,90.0,top
L1,117.265,-77.686,90.0,top
Q1,77.25,-79.772,90.0,top
Q10,88.05,-53.25,270.0,top
Q11,94.908,-53.1715,270.0,top
Q12,106.592,-53.25,270.0,top
Q13,100.75,-53.25,270.0,top
Q14,131.75,-44.2,180.0,top
Q2,131.75,-55.2,180.0,top
Q3,83.092,-79.772,90.0,top
Q4,88.934,-79.772,90.0,top
Q5,96.3,-79.772,90.0,top
Q6,102.142,-79.772,90.0,top
Q7,107.796,-79.772,90.0,top
Q8,82.208,-53.25,270.0,top
Q9,76.366,-53.25,270.0,top
R1,89.662,-61.976,180.0,top
R10,133.0,-70.5,90.0,top
R11,83.092,-76.75,180.0,top
R12,80.298,-79.798,270.0,top
R13,88.934,-76.75,180.0,top
R14,86.142,-79.772,270.0,top
R15,72.548,-53.906,270.0,top
R16,72.548,-61.018,270.0,top
R17,96.3,-76.724,180.0,top
R18,93.506,-79.772,270.0,top
R19,102.142,-76.724,180.0,top
R2,77.25,-76.75,180.0,top
R20,99.348,-79.772,270.0,top
R21,107.818,-76.736,180.0,top
R22,105.024,-79.784,270.0,top
R23,72.548,-68.13,270.0,top
R24,82.208,-56.298,0.0,top
R25,85.002,-53.25,90.0,top
R26,76.366,-56.298,0.0,top
R27,79.16,-53.25,90.0,top
R28,88.05,-56.298,0.0,top
R29,90.844,-53.25,90.0,top
R3,74.52,-79.7095,270.0,top
R30,72.548,-75.242,270.0,top
R31,94.908,-56.2195,0.0,top
R32,97.702,-53.1715,90.0,top
R33,106.592,-56.298,0.0,top
R34,109.386,-53.25,90.0,top
R35,100.75,-56.298,0.0,top
R36,103.544,-53.25,90.0,top
R37,128.5,-44.2,270.0,top
R38,133.0,-47.45,180.0,top
R4,128.5,-55.2,270.0,top
R5,133.0,-58.45,180.0,top
R6,135.128,-89.42,90.0,top
R7,124.412,-82.012,90.0,top
R8,135.89,-62.23,0.0,top
R9,108.25,-67.75,270.0,top
SW1,139.75,-89.75,90.0,top
SW2,130.0,-82.25,0.0,top
U1,116.844,-68.284,270.0,top
U2,87.376,-67.056,0.0,top
U3,130.5,-74.5,270.0,top
Y1,104.819,-66.764,180.0,top
