Designator,Mid X,Mid Y,Rotation,Layer
C1,122.936,-58.928,180.0,top
C2,97.9325,-75.75,0.0,top
C3,98.932,-85.342,90.0,top
C4,106.5,-72.5,180.0,top
C5,106.539,-65.5,0.0,top
C6,102.432,-79.092,0.0,top
J13,133.75,-72.0,270.0,top
J14,133.75,-79.0,270.0,top
J15,133.75,-65.0,270.0,top
J16,133.75,-58.0,270.0,top
J2,91.25,-96.0,180.0,top
J3,102.458,-96.0,180.0,top
J4,87.8,-67.25,90.0,top
J5,87.8,-78.5,90.0,top
Q1,92.2,-57.9375,90.0,top
Q2,85.85,-57.9375,90.0,top
R2,92.2,-54.8895,180.0,top
R3,89.152,-57.9375,270.0,top
R4,85.834,-54.8895,180.0,top
R5,82.802,-57.9375,270.0,top
R6,110.75,-59.25,0.0,top
R7,110.75,-61.25,0.0,top
R8,110.75,-63.25,0.0,top
U1,100.0,-70.5,90.0,top
U2,102.5,-83.542,180.0,top
U3,118.872,-65.278,270.0,top
U4,102.432,-89.542,90.0,top
Y2,106.539,-69.0,90.0,top
